REF_DATE,GEO,Employment,Employment rate,Labour force,Population,Unemployment,Unemployment rate
2005-01,Alberta,1799.0,70.0,1880.9,2568.5,81.9,4.4
2005-01,British Columbia,2058.7,61.1,2204.3,3370.2,145.6,6.6
2005-01,Manitoba,576.6,65.3,607.5,882.7,30.9,5.1
2005-01,New Brunswick,346.8,57.2,384.2,606.2,37.4,9.7
2005-01,Newfoundland and Labrador,214.9,50.2,250.5,427.8,35.6,14.2
2005-01,Nova Scotia,441.1,58.1,483.4,759.7,42.3,8.8
2005-01,Ontario,6330.9,63.4,6782.5,9982.1,451.5,6.7
2005-01,Prince Edward Island,67.8,61.1,75.8,110.9,8.1,10.7
2005-01,Quebec,3712.8,60.6,4046.4,6129.3,333.6,8.2
2005-01,Saskatchewan,485.3,64.9,510.5,748.2,25.2,4.9
2005-02,Alberta,1799.3,69.9,1876.0,2575.5,76.7,4.1
2005-02,British Columbia,2064.7,61.2,2221.5,3373.9,156.8,7.1
2005-02,Manitoba,578.0,65.4,608.5,883.3,30.5,5.0
2005-02,New Brunswick,346.4,57.1,382.2,606.3,35.8,9.4
2005-02,Newfoundland and Labrador,210.7,49.3,249.1,427.5,38.4,15.4
2005-02,Nova Scotia,440.8,58.0,487.3,759.7,46.5,9.5
2005-02,Ontario,6348.8,63.5,6812.8,9994.5,464.0,6.8
2005-02,Prince Edward Island,67.5,60.8,75.6,111.0,8.1,10.7
2005-02,Quebec,3705.6,60.4,4030.7,6133.5,325.1,8.1
2005-02,Saskatchewan,485.4,64.9,510.6,748.2,25.2,4.9
2005-03,Alberta,1807.0,70.0,1874.5,2582.3,67.5,3.6
2005-03,British Columbia,2062.0,61.0,2205.8,3377.7,143.8,6.5
2005-03,Manitoba,575.1,65.1,606.5,883.9,31.3,5.2
2005-03,New Brunswick,345.5,57.0,381.1,606.3,35.6,9.3
2005-03,Newfoundland and Labrador,214.1,50.1,251.1,427.2,37.0,14.7
2005-03,Nova Scotia,440.8,58.0,482.5,759.7,41.7,8.6
2005-03,Ontario,6348.4,63.4,6814.2,10006.6,465.9,6.8
2005-03,Prince Edward Island,67.6,60.8,75.7,111.1,8.0,10.6
2005-03,Quebec,3698.8,60.3,4026.7,6138.2,327.9,8.1
2005-03,Saskatchewan,487.1,65.1,512.6,748.1,25.5,5.0
2005-04,Alberta,1814.7,70.1,1889.2,2589.2,74.4,3.9
2005-04,British Columbia,2074.6,61.4,2210.6,3381.5,136.0,6.2
2005-04,Manitoba,572.6,64.8,600.9,884.3,28.3,4.7
2005-04,New Brunswick,346.1,57.1,381.6,606.2,35.5,9.3
2005-04,Newfoundland and Labrador,210.8,49.4,249.9,426.8,39.1,15.6
2005-04,Nova Scotia,441.0,58.0,482.5,759.8,41.5,8.6
2005-04,Ontario,6364.2,63.5,6821.8,10019.1,457.6,6.7
2005-04,Prince Edward Island,67.0,60.3,75.5,111.2,8.5,11.3
2005-04,Quebec,3698.3,60.2,4012.9,6143.1,314.5,7.8
2005-04,Saskatchewan,482.9,64.6,508.5,747.8,25.7,5.1
2005-05,Alberta,1816.7,69.9,1886.2,2598.0,69.4,3.7
2005-05,British Columbia,2078.0,61.4,2209.2,3386.6,131.2,5.9
2005-05,Manitoba,576.0,65.1,606.5,884.6,30.5,5.0
2005-05,New Brunswick,349.3,57.6,385.1,606.3,35.8,9.3
2005-05,Newfoundland and Labrador,209.2,49.0,248.6,426.6,39.4,15.8
2005-05,Nova Scotia,445.1,58.6,484.5,760.0,39.4,8.1
2005-05,Ontario,6387.2,63.6,6873.3,10036.2,486.1,7.1
2005-05,Prince Edward Island,66.8,60.0,75.6,111.3,8.8,11.6
2005-05,Quebec,3664.6,59.6,4009.4,6149.3,344.8,8.6
2005-05,Saskatchewan,483.7,64.7,506.6,747.7,22.8,4.5
2005-06,Alberta,1815.7,69.7,1889.2,2604.7,73.5,3.9
2005-06,British Columbia,2082.8,61.4,2213.5,3391.1,130.7,5.9
2005-06,Manitoba,574.0,64.9,603.6,884.9,29.6,4.9
2005-06,New Brunswick,342.7,56.5,381.7,606.3,39.0,10.2
2005-06,Newfoundland and Labrador,213.9,50.1,249.7,426.6,35.8,14.3
2005-06,Nova Scotia,443.1,58.3,484.4,760.3,41.2,8.5
2005-06,Ontario,6384.4,63.5,6851.8,10051.2,467.3,6.8
2005-06,Prince Edward Island,67.3,60.4,76.1,111.4,8.8,11.6
2005-06,Quebec,3693.6,60.0,4019.7,6154.6,326.0,8.1
2005-06,Saskatchewan,484.2,64.8,508.1,747.5,23.9,4.7
2005-07,Alberta,1827.7,70.0,1894.5,2611.2,66.8,3.5
2005-07,British Columbia,2091.8,61.6,2224.0,3395.9,132.2,5.9
2005-07,Manitoba,576.9,65.2,604.2,885.3,27.3,4.5
2005-07,New Brunswick,346.7,57.2,383.3,606.2,36.7,9.6
2005-07,Newfoundland and Labrador,215.2,50.4,252.0,426.7,36.8,14.6
2005-07,Nova Scotia,441.4,58.0,478.8,760.8,37.4,7.8
2005-07,Ontario,6377.4,63.4,6834.7,10066.0,457.3,6.7
2005-07,Prince Edward Island,68.3,61.3,76.5,111.5,8.2,10.7
2005-07,Quebec,3712.4,60.3,4044.7,6160.3,332.3,8.2
2005-07,Saskatchewan,484.4,64.8,507.9,747.6,23.6,4.6
2005-08,Alberta,1826.7,69.7,1897.3,2619.2,70.7,3.7
2005-08,British Columbia,2104.1,61.9,2229.2,3401.9,125.1,5.6
2005-08,Manitoba,576.5,65.1,603.1,885.9,26.6,4.4
2005-08,New Brunswick,346.9,57.2,384.0,606.2,37.1,9.7
2005-08,Newfoundland and Labrador,211.9,49.7,251.9,426.7,40.0,15.9
2005-08,Nova Scotia,446.2,58.6,481.4,761.5,35.1,7.3
2005-08,Ontario,6394.8,63.4,6851.0,10082.0,456.2,6.7
2005-08,Prince Edward Island,67.5,60.5,76.0,111.6,8.5,11.2
2005-08,Quebec,3729.0,60.5,4067.1,6167.6,338.1,8.3
2005-08,Saskatchewan,483.0,64.6,508.1,747.8,25.1,4.9
2005-09,Alberta,1827.1,69.6,1901.7,2626.4,74.6,3.9
2005-09,British Columbia,2097.1,61.6,2217.7,3405.8,120.6,5.4
2005-09,Manitoba,575.2,64.9,604.2,886.3,29.0,4.8
2005-09,New Brunswick,345.5,57.0,384.3,606.4,38.8,10.1
2005-09,Newfoundland and Labrador,213.0,49.9,251.3,426.7,38.3,15.2
2005-09,Nova Scotia,440.6,57.8,481.2,761.7,40.6,8.4
2005-09,Ontario,6411.6,63.5,6855.8,10093.6,444.2,6.5
2005-09,Prince Edward Island,67.9,60.8,76.5,111.6,8.5,11.1
2005-09,Quebec,3717.1,60.2,4051.6,6173.2,334.5,8.3
2005-09,Saskatchewan,477.1,63.8,507.6,747.7,30.6,6.0
2005-10,Alberta,1838.3,69.8,1915.9,2634.0,77.6,4.1
2005-10,British Columbia,2112.3,62.0,2223.2,3409.3,111.0,5.0
2005-10,Manitoba,576.4,65.0,603.8,886.7,27.5,4.6
2005-10,New Brunswick,345.0,56.9,386.3,606.5,41.3,10.7
2005-10,Newfoundland and Labrador,212.1,49.7,250.3,426.6,38.2,15.3
2005-10,Nova Scotia,442.9,58.1,484.3,762.1,41.3,8.5
2005-10,Ontario,6419.3,63.5,6868.2,10104.7,448.9,6.5
2005-10,Prince Edward Island,68.0,60.9,76.5,111.6,8.5,11.1
2005-10,Quebec,3721.2,60.2,4060.9,6177.9,339.7,8.4
2005-10,Saskatchewan,476.4,63.7,503.2,747.8,26.7,5.3
2005-11,Alberta,1842.6,69.8,1922.2,2641.1,79.6,4.1
2005-11,British Columbia,2127.4,62.3,2235.8,3412.3,108.3,4.8
2005-11,Manitoba,579.5,65.3,604.7,887.2,25.2,4.2
2005-11,New Brunswick,347.8,57.3,384.1,606.6,36.3,9.5
2005-11,Newfoundland and Labrador,215.7,50.6,253.4,426.5,37.7,14.9
2005-11,Nova Scotia,441.7,57.9,481.7,762.3,40.0,8.3
2005-11,Ontario,6419.6,63.5,6834.6,10115.4,415.0,6.1
2005-11,Prince Edward Island,68.4,61.3,76.2,111.6,7.8,10.2
2005-11,Quebec,3720.1,60.2,4040.2,6183.5,320.1,7.9
2005-11,Saskatchewan,478.4,64.0,505.3,747.8,26.9,5.3
2005-12,Alberta,1849.1,69.8,1931.2,2647.3,82.1,4.3
2005-12,British Columbia,2127.5,62.3,2237.9,3414.8,110.4,4.9
2005-12,Manitoba,581.0,65.4,608.1,887.8,27.1,4.5
2005-12,New Brunswick,351.5,57.9,387.9,606.8,36.4,9.4
2005-12,Newfoundland and Labrador,209.0,49.0,248.1,426.6,39.1,15.8
2005-12,Nova Scotia,440.1,57.7,482.1,762.6,42.0,8.7
2005-12,Ontario,6395.0,63.2,6828.3,10125.2,433.3,6.3
2005-12,Prince Edward Island,68.3,61.1,76.5,111.7,8.2,10.7
2005-12,Quebec,3732.8,60.3,4069.2,6188.2,336.4,8.3
2005-12,Saskatchewan,478.0,63.9,504.4,748.0,26.4,5.2
2006-01,Alberta,1858.4,70.0,1932.9,2656.6,74.5,3.9
2006-01,British Columbia,2126.9,62.2,2239.4,3418.3,112.5,5.0
2006-01,Manitoba,582.0,65.5,609.2,888.5,27.3,4.5
2006-01,New Brunswick,353.2,58.2,387.2,606.8,34.0,8.8
2006-01,Newfoundland and Labrador,209.2,49.1,249.0,426.3,39.8,16.0
2006-01,Nova Scotia,442.4,58.0,480.8,762.8,38.4,8.0
2006-01,Ontario,6421.2,63.3,6871.9,10139.0,450.7,6.6
2006-01,Prince Edward Island,68.2,61.1,76.5,111.7,8.3,10.8
2006-01,Quebec,3718.1,60.0,4082.2,6195.1,364.1,8.9
2006-01,Saskatchewan,481.4,64.3,507.3,748.1,25.9,5.1
2006-02,Alberta,1881.4,70.6,1944.0,2663.5,62.6,3.2
2006-02,British Columbia,2141.9,62.6,2249.6,3421.8,107.7,4.8
2006-02,Manitoba,585.4,65.8,612.9,889.1,27.5,4.5
2006-02,New Brunswick,352.7,58.1,391.3,606.8,38.6,9.9
2006-02,Newfoundland and Labrador,214.8,50.4,252.5,426.1,37.8,15.0
2006-02,Nova Scotia,440.4,57.7,481.8,763.1,41.4,8.6
2006-02,Ontario,6399.8,63.1,6850.6,10149.0,450.8,6.6
2006-02,Prince Edward Island,67.9,60.7,76.7,111.8,8.8,11.5
2006-02,Quebec,3725.8,60.1,4070.4,6199.6,344.5,8.5
2006-02,Saskatchewan,482.1,64.5,509.4,748.0,27.3,5.4
2006-03,Alberta,1891.6,70.8,1957.1,2671.0,65.5,3.3
2006-03,British Columbia,2144.6,62.6,2251.2,3426.0,106.7,4.7
2006-03,Manitoba,581.7,65.4,609.4,889.8,27.7,4.5
2006-03,New Brunswick,352.4,58.1,389.9,606.8,37.5,9.6
2006-03,Newfoundland and Labrador,211.9,49.8,251.2,425.8,39.3,15.6
2006-03,Nova Scotia,441.8,57.9,481.7,763.4,39.9,8.3
2006-03,Ontario,6455.7,63.5,6887.8,10160.1,432.2,6.3
2006-03,Prince Edward Island,67.2,60.1,76.9,111.8,9.7,12.6
2006-03,Quebec,3717.7,59.9,4066.1,6204.4,348.4,8.6
2006-03,Saskatchewan,482.7,64.5,508.4,748.1,25.6,5.0
2006-04,Alberta,1894.3,70.8,1961.8,2677.4,67.5,3.4
2006-04,British Columbia,2154.6,62.8,2261.4,3430.4,106.8,4.7
2006-04,Manitoba,582.5,65.4,613.4,890.6,30.9,5.0
2006-04,New Brunswick,351.9,58.0,389.2,606.7,37.4,9.6
2006-04,Newfoundland and Labrador,214.4,50.4,253.9,425.5,39.5,15.6
2006-04,Nova Scotia,441.4,57.8,482.8,763.6,41.4,8.6
2006-04,Ontario,6476.2,63.7,6917.6,10172.5,441.4,6.4
2006-04,Prince Edward Island,68.4,61.2,77.4,111.8,9.0,11.6
2006-04,Quebec,3714.6,59.8,4049.3,6209.6,334.7,8.3
2006-04,Saskatchewan,485.3,64.9,510.1,748.3,24.8,4.9
2006-05,Alberta,1921.1,71.5,1990.9,2685.6,69.8,3.5
2006-05,British Columbia,2151.7,62.6,2253.8,3436.0,102.1,4.5
2006-05,Manitoba,583.1,65.4,608.7,891.6,25.7,4.2
2006-05,New Brunswick,352.3,58.1,386.9,606.7,34.6,8.9
2006-05,Newfoundland and Labrador,215.6,50.7,254.4,425.5,38.8,15.3
2006-05,Nova Scotia,441.0,57.7,481.7,764.0,40.7,8.4
2006-05,Ontario,6490.7,63.7,6917.7,10188.7,427.0,6.2
2006-05,Prince Edward Island,68.9,61.6,77.3,111.9,8.4,10.9
2006-05,Quebec,3739.1,60.2,4061.9,6215.9,322.8,7.9
2006-05,Saskatchewan,486.8,65.0,511.5,748.9,24.6,4.8
2006-06,Alberta,1918.0,71.2,1989.9,2693.3,71.9,3.6
2006-06,British Columbia,2139.6,62.2,2242.7,3440.7,103.1,4.6
2006-06,Manitoba,583.1,65.3,607.6,892.3,24.5,4.0
